Tool Name,Primary Function,Data Sources,Target User/Client,Environment Type,Description,TNFD Link
ABSA Natural Capital Tool,Impact assessment,"Satellite imagery, GIS data, company operational data",Financial institutions,Multiple,A tool designed to help financial institutions assess natural capital impacts and dependencies of their portfolio companies,https://tnfd.global/tools-platforms/absa-natural-capital-tool/
ACTIAM Biodiversity Footprint for Financial Institutions,Footprinting,"Corporate and sector-level data, GLOBIO model",Financial institutions,Multiple,Measures the biodiversity footprint of investments and compares different investment portfolios,https://tnfd.global/tools-platforms/actiam-biodiversity-footprint-for-financial-institutions/
AgBalance,Impact assessment,"Farm operational data, life cycle assessment",Agricultural sector,Terrestrial,Assesses sustainability in agriculture by measuring biodiversity impacts of farming practices,https://tnfd.global/tools-platforms/agbalance/
Agricultural Life Cycle Assessment Tool,Impact assessment,"Farm data, environmental indicators",Agricultural sector,Terrestrial,Evaluates environmental impacts of agricultural production systems using life cycle assessment methodology,https://tnfd.global/tools-platforms/agricultural-life-cycle-assessment-tool/
Aligning Biodiversity Measures for Business,Framework,Various data sources based on selected indicators,Businesses,Multiple,A framework to help businesses select and implement appropriate biodiversity indicators,https://tnfd.global/tools-platforms/aligning-biodiversity-measures-for-business/
AquaVan,Risk assessment,"Water quality data, species occurrence",Water management sector,Freshwater,Assesses biodiversity risks in freshwater ecosystems with a focus on water quality,https://tnfd.global/tools-platforms/aquavan/
Artificial Intelligence for Environment & Sustainability,Data analysis,"Satellite imagery, wildlife cameras, acoustic sensors","Researchers, conservation organizations",Multiple,Uses AI to process large environmental datasets to monitor biodiversity and ecosystem changes,https://tnfd.global/tools-platforms/artificial-intelligence-for-environment-and-sustainability/
ASN Bank Biodiversity Footprint,Footprinting,"Corporate data, environmental pressure data",Financial institutions,Multiple,Calculates the biodiversity footprint of loans and investments,https://tnfd.global/tools-platforms/asn-bank-biodiversity-footprint/
Banco de Hábitat Biodiversity Measurement System,Offset calculation,"Field surveys, habitat quality assessments","Developers, governments",Multiple,Quantifies biodiversity losses and gains for offset projects,https://tnfd.global/tools-platforms/banco-de-hábitat-biodiversity-measurement-system/
BCG's Biodiversity Impact Assessment,Impact assessment,"Corporate data, environmental indicators",Corporations,Multiple,A corporate tool for assessing biodiversity impacts across operations and supply chains,https://tnfd.global/tools-platforms/bcg's-biodiversity-impact-assessment/
Ben-U,Impact assessment,"Land use data, species occurrence","Developers, planners",Urban,Measures urban biodiversity and ecosystem services to improve urban planning,https://tnfd.global/tools-platforms/ben-u/
BioBloq,Offset calculation,"Species data, habitat quality, ecosystem services","Developers, planners",Multiple,Calculates biodiversity losses and gains for development projects,https://tnfd.global/tools-platforms/biobloq/
Biocarbon Registry,Carbon and biodiversity crediting,"Forest inventory, carbon stocks, species data","Project developers, carbon markets",Terrestrial,Integrates biodiversity considerations into carbon offset projects,https://tnfd.global/tools-platforms/biocarbon-registry/
Biodiversity Calculator for Conservation Trust Funds,Financial planning,"Conservation costs, species data","Conservation organizations, funds",Multiple,Helps conservation funds estimate financial needs for biodiversity conservation,https://tnfd.global/tools-platforms/biodiversity-calculator-for-conservation-trust-funds/
Biodiversity Footprint Calculator,Footprinting,"Land use data, pressure indicators",Businesses,Terrestrial,Calculates corporate biodiversity footprint based on land use and resource consumption,https://tnfd.global/tools-platforms/biodiversity-footprint-calculator/
Biodiversity Footprint Financial Institutions,Footprinting,"Investment portfolio data, environmental impact factors",Financial institutions,Multiple,Measures biodiversity impact of investment portfolios,https://tnfd.global/tools-platforms/biodiversity-footprint-financial-institutions/
Biodiversity Impact Metric,Impact assessment,"Land use, commodity data, species richness",Businesses with agricultural supply chains,Terrestrial,Measures impacts of agricultural commodity sourcing on biodiversity,https://tnfd.global/tools-platforms/biodiversity-impact-metric/
Biodiversity Indicators for Extractive Companies,Impact assessment,"Site-level data, species lists, habitat quality",Extractive sector,Multiple,Framework of indicators to measure biodiversity performance in mining and oil & gas operations,https://tnfd.global/tools-platforms/biodiversity-indicators-for-extractive-companies/
