Tool Name,Primary Function,Data Sources,Target User/Client,Environment Type,Description
ABSA Natural Capital Tool,Impact assessment,"Satellite imagery, GIS data, company operational data",Financial institutions,Multiple,A tool designed to help financial institutions assess natural capital impacts and dependencies of their portfolio companies
ACTIAM Biodiversity Footprint for Financial Institutions,Footprinting,"Corporate and sector-level data, GLOBIO model",Financial institutions,Multiple,Measures the biodiversity footprint of investments and compares different investment portfolios
AgBalance,Impact assessment,"Farm operational data, life cycle assessment",Agricultural sector,Terrestrial,Assesses sustainability in agriculture by measuring biodiversity impacts of farming practices
Agricultural Life Cycle Assessment Tool,Impact assessment,"Farm data, environmental indicators",Agricultural sector,Terrestrial,Evaluates environmental impacts of agricultural production systems using life cycle assessment methodology
Aligning Biodiversity Measures for Business,Framework,Various data sources based on selected indicators,Businesses,Multiple,A framework to help businesses select and implement appropriate biodiversity indicators
AquaVan,Risk assessment,"Water quality data, species occurrence",Water management sector,Freshwater,Assesses biodiversity risks in freshwater ecosystems with a focus on water quality
Artificial Intelligence for Environment & Sustainability,Data analysis,"Satellite imagery, wildlife cameras, acoustic sensors","Researchers, conservation organizations",Multiple,Uses AI to process large environmental datasets to monitor biodiversity and ecosystem changes
ASN Bank Biodiversity Footprint,Footprinting,"Corporate data, environmental pressure data",Financial institutions,Multiple,Calculates the biodiversity footprint of loans and investments
Banco de Hábitat Biodiversity Measurement System,Offset calculation,"Field surveys, habitat quality assessments","Developers, governments",Multiple,Quantifies biodiversity losses and gains for offset projects
BCG's Biodiversity Impact Assessment,Impact assessment,"Corporate data, environmental indicators",Corporations,Multiple,A corporate tool for assessing biodiversity impacts across operations and supply chains
Ben-U,Impact assessment,"Land use data, species occurrence","Developers, planners",Urban,Measures urban biodiversity and ecosystem services to improve urban planning
BioBloq,Offset calculation,"Species data, habitat quality, ecosystem services","Developers, planners",Multiple,Calculates biodiversity losses and gains for development projects
Biocarbon Registry,Carbon and biodiversity crediting,"Forest inventory, carbon stocks, species data","Project developers, carbon markets",Terrestrial,Integrates biodiversity considerations into carbon offset projects
Biodiversity Calculator for Conservation Trust Funds,Financial planning,"Conservation costs, species data","Conservation organizations, funds",Multiple,Helps conservation funds estimate financial needs for biodiversity conservation
Biodiversity Footprint Calculator,Footprinting,"Land use data, pressure indicators",Businesses,Terrestrial,Calculates corporate biodiversity footprint based on land use and resource consumption
Biodiversity Footprint Financial Institutions,Footprinting,"Investment portfolio data, environmental impact factors",Financial institutions,Multiple,Measures biodiversity impact of investment portfolios
Biodiversity Impact Metric,Impact assessment,"Land use, commodity data, species richness",Businesses with agricultural supply chains,Terrestrial,Measures impacts of agricultural commodity sourcing on biodiversity
Biodiversity Indicators for Extractive Companies,Impact assessment,"Site-level data, species lists, habitat quality",Extractive sector,Multiple,Framework of indicators to measure biodiversity performance in mining and oil & gas operations
Biodiversity Intactness Index,Status assessment,"Land use data, species occurrence, abundance","Researchers, policy makers",Terrestrial,Indicates the average abundance of original species relative to their abundance in undisturbed habitat
Biodiversity Metric 3.0,Offset calculation,"Habitat condition, area, distinctiveness","Developers, planners",Multiple,Calculates biodiversity net gain/loss for development projects in England
Biodiversity Module in the Textile Exchange's Corporate Fiber & Materials Benchmark,Benchmarking,"Corporate practices, materials data",Textile industry,Multiple,Benchmarks textile companies' biodiversity performance in material sourcing
Biodiversity Net Gain Model,Offset calculation,"Habitat data, species occurrence, ecological functionality","Developers, planners",Multiple,Calculates biodiversity net gain requirements for development projects
Biodiversity Performance Tool,Assessment,"Farm management practices, landscape features","Farmers, food companies",Agricultural,Evaluates farm-level biodiversity performance and suggests improvement measures
Biodiversity Risk and Opportunity Assessment,Risk assessment,"Supply chain data, ecosystem services, species data",Agricultural businesses,Multiple,Identifies biodiversity-related risks and opportunities in agricultural supply chains
Biodiversity Sensitivity Index,Risk assessment,"Species distribution, protection status","Financial institutions, businesses",Multiple,Maps biodiversity sensitivity to help businesses identify high-risk areas
Biofin Workbook,Financial planning,"Conservation costs, policy instruments",Governments,Multiple,Helps countries determine financial needs for biodiversity conservation and develop resource mobilization strategies
Biological Condition Gradient,Status assessment,"Water quality data, biological assemblage data",Water resource managers,Freshwater,Framework for describing biological condition of aquatic ecosystems
Biologically Significant Area Standard,Certification,"Species data, ecosystem indicators, connectivity","Protected area managers, developers",Multiple,Standard for identifying and managing areas of high biodiversity value
BioScore,Impact assessment,"Species occurrence, environmental pressure data","Policy makers, researchers",Multiple,Evaluates effects of environmental pressures on European biodiversity
BISM,Impact assessment,"Land use data, species occurrence, ecosystem services","Businesses, developers",Multiple,Measures direct and indirect impacts of business activities on biodiversity
Blue Natural Capital Financing Facility,Financial mechanism,"Ecosystem services data, carbon sequestration",Coastal project developers,"Marine, Coastal",Supports projects that combine coastal ecosystem restoration with sustainable business models
BNG Metric,Offset calculation,"Habitat data, condition assessments","Developers, consultants",Multiple,Calculates biodiversity net gain for development projects
Brightway Biodiversity Ecosystem Services,Impact assessment,"Life cycle inventory data, ecosystem service indicators",Product manufacturers,Multiple,Assesses biodiversity and ecosystem service impacts in life cycle assessment
